frame,timestamp,CMC_pos_x,CMC_pos_y,CMC_pos_z,CMC_rot_x,CMC_rot_y,CMC_rot_z,CMC_rot_w,MCP_pos_x,MCP_pos_y,MCP_pos_z,MCP_rot_x,MCP_rot_y,MCP_rot_z,MCP_rot_w,IP_pos_x,IP_pos_y,IP_pos_z,IP_rot_x,IP_rot_y,IP_rot_z,IP_rot_w,Tip_pos_x,Tip_pos_y,Tip_pos_z,Tip_rot_x,Tip_rot_y,Tip_rot_z,Tip_rot_w
55,1765888721009,0.0241747,0.0172301,-0.00417916,0.918048,0.0981614,-0.114656,-0.366614,0.0419862,-0,0,-1.49012e-08,-0.0117054,4.47035e-08,0.999932,0.0299928,-0,0,-9.31322e-08,-0.1988,-1.11759e-07,0.98004,0.0252377,-0,0,0,0,0,1
56,1765888721042,0.0241747,0.0172301,-0.00417916,0.944478,0.0112957,-0.100189,-0.312724,0.0419862,-0,0,8.49832e-09,-0.00695667,-4.09782e-08,0.999976,0.0299928,-0,0,5.47152e-08,-0.101508,6.79866e-08,0.994835,0.0252377,-0,0,0,0,0,1
57,1765888721075,0.0241747,0.0172301,-0.00417916,0.951133,-0.0936725,-0.0884678,-0.280617,0.0419862,-0,0,1.86265e-09,-0.000684738,0,1,0.0299928,-0,0,-1.11759e-08,-0.010713,-1.49012e-08,0.999943,0.0252377,-0,0,0,0,0,1
58,1765888721109,0.0241747,0.0172301,-0.00417916,0.940059,-0.178283,-0.0849233,-0.278016,0.0419862,-0,0,-3.72529e-09,0.00469533,-2.98023e-08,0.999989,0.0299928,-0,0,4.47035e-08,0.0843022,8.9407e-08,0.99644,0.0252377,-0,0,0,0,0,1
59,1765888721142,0.0241747,0.0172301,-0.00417916,0.926716,-0.220839,-0.0735823,-0.294981,0.0419862,-0,0,-1.86265e-09,0.00852484,-1.49012e-08,0.999964,0.0299928,-0,0,-1.30385e-08,0.190129,0,0.981759,0.0252377,-0,0,0,0,0,1
60,1765888721175,0.0241747,0.0172301,-0.00417916,0.916976,-0.23745,-0.0696119,-0.312931,0.0419862,-0,0,2.23517e-08,0.0104647,8.9407e-08,0.999945,0.0299928,-0,0,-2.23517e-08,0.273872,-1.78814e-07,0.961766,0.0252377,-0,0,0,0,0,1
61,1765888721209,0.0241747,0.0172301,-0.00417916,0.914945,-0.243061,-0.0694784,-0.314593,0.0419862,-0,0,1.22935e-07,0.0108538,5.96047e-08,0.999941,0.0299928,-0,0,-7.07805e-08,0.30554,4.47035e-08,0.952179,0.0252377,-0,0,0,0,0,1
62,1765888721242,0.0241747,0.0172301,-0.00417916,0.914977,-0.245197,-0.0702209,-0.312672,0.0419862,-0,0,-2.98023e-08,0.0109936,7.45058e-08,0.99994,0.0299928,-0,0,1.11759e-08,0.321129,0,0.947035,0.0252377,-0,0,0,0,0,1
63,1765888721275,0.0241747,0.0172301,-0.00417916,0.915326,-0.247752,-0.0714916,-0.309332,0.0419862,-0,0,2.6077e-08,0.0104258,1.49012e-07,0.999946,0.0299928,-0,0,-4.09782e-08,0.327286,-1.3411e-07,0.944925,0.0252377,-0,0,0,0,0,1
64,1765888721308,0.0241747,0.0172301,-0.00417916,0.915859,-0.249069,-0.0715426,-0.306674,0.0419862,-0,0,8.3819e-08,0.0101135,2.38419e-07,0.999949,0.0299928,-0,0,-2.98023e-08,0.32515,-2.08616e-07,0.945662,0.0252377,-0,0,0,0,0,1
